smiles,D,D_pred
C1C23C4C15C41C2C351,13.60624214266669,13.60624214266669
C12C34C5C13C254,12.913990721862536,12.913990721862536
CC12C3C14CC324,12.831600671157576,12.831600671157576
C1C23C4C2C143,12.273792894697117,12.273792894697117
C12C34C5C16C23C546,12.030927449324857,12.030927449324857
CC1C23C4C2C143,11.35432573313248,11.35432573313248
C12C34C5C16C51C23C461,11.26041212822162,11.26041212822162
C1C2C3CC123,11.23149816187332,11.23149816187332
C1C23C4N2C143,11.167274779504964,11.167274779504964
C1C2C3N4C1C234,11.124724592886642,11.124724592886642
C1#CC#C1,11.0110450676963,11.0110450676963
C1C2C13C1NC213,10.870552080737678,10.870552080737678
C1C23C4C5C12C453,12.567132384451948,12.567132384451948
C1C23C4N5C12C453,11.141413033389124,11.141413033389124
C1N2C3C14CC324,11.124052769734533,11.124052769734533
CC1C23C4N2C143,10.629357646739315,10.629357646739315
C1CC23CC12C3,10.692989010003531,10.692989010003531
C1CC23C4C2C143,13.190920870984844,13.190920870984844
C12C3C14C1C35C2C145,10.751025300035751,10.751025300035751
C1C2C34C5C13C254,13.96600321860272,13.96600321860272
C1C23CC14C2C34,11.804582887924573,11.804582887924573
C1N2CC34C5C13CC524,11.56994839669591,11.56994839669591
C12C3N1N23,11.32406753247006,11.32406753247006
C1C2C34C5C16C23C564,13.400971705255984,13.400971705255984
BrP[PH]12[C]P[PH]13PC#CN23,10.630771360670192,10.630771360670192
