smiles,D,D_pred
C12C34C5C13C254,12.913989586193937,12.913989586193937
C1C2C13C1NC213,10.87055182723192,10.87055182723192
C1C23C4N2C143,11.1672748581527,11.1672748581527
C1C23C4C2C143,12.273792736311089,12.273792736311089
C1C2C3CC123,11.231498289406275,11.231498289406275
CC12C3C14CC324,12.831600668910356,12.831600668910356
C1C23C4C15C41C2C351,13.60624163221856,13.60624163221856
C12C34C5C16C51C23C461,11.26041208690214,11.26041208690214
C1C2C3N4C1C234,11.124724399890322,11.124724399890322
C12C34C5C16C23C546,12.030925763356477,12.030925763356477
CC1C23C4C2C143,11.354326247326332,11.354326247326332
