smiles,D,D_pred
C12C34C5C13C254,12.913990721862536,12.913990721862536
C1CC23CC2C13,11.105835510343956,11.105835510343956
C1C2C34C5C13C254,13.9660042422173,13.9660042422173
C1C2C3CC123,11.23149816187332,11.23149816187332
C1C23C4C2C143,12.273792894697117,12.273792894697117
C1C23CC12C3,10.886440609058932,10.886440609058932
C12C34C5C16C23C546,12.030927449324857,12.030927449324857
C1C2C13C1CC213,14.090131527006577,14.090131527006577
CC1C23C4C2C143,11.35432573313248,11.35432573313248
C1C2C3C14CC234,12.329223331944084,12.329223331944084
C1C2C34CC23C14,14.366466971743492,14.366466971743492
C1C23C4C15C2C435,13.91921577655654,13.91921577655654
C1C2C34C5C16C23C564,13.400972126787764,13.400972126787764
C1C23C4C5C16C42C536,12.338657717287656,12.338657717287656
C1C23C4C5C12C453,12.567131135868104,12.567131135868104
C1CC23C4C25C1C435,14.528406219287106,14.528406219287106
