smiles,D,D_pred
C1C23C4C15C41C2C351,13.60624214266669,13.60624214266669
C12C34C5C13C254,12.913990721862536,12.913990721862536
CC12C3C14CC324,12.831600671157576,12.831600671157576
C1C23C4C2C143,12.273792894697117,12.273792894697117
C12C34C5C16C23C546,12.030927449324857,12.030927449324857
CC1C23C4C2C143,11.35432573313248,11.35432573313248
C12C34C5C16C51C23C461,11.26041212822162,11.26041212822162
C1C2C3CC123,11.23149816187332,11.23149816187332
C1C23C4N2C143,11.167274779504964,11.167274779504964
C1C2C3N4C1C234,11.124724592886642,11.124724592886642
C1C2C13C1NC213,10.870552080737678,10.870552080737678
C1#CC#C1,11.01104541794179,11.01104541794179
