smiles,D,D_pred
C12C34C5C13C254,12.913990721862536,12.913990721862536
C1C23C4C2C143,12.273792894697117,12.273792894697117
C1C2C3CC123,11.23149816187332,11.23149816187332
C1C23C4N2C143,11.167274779504964,11.167274779504964
C1CC23CC12C3,10.69298907589863,10.69298907589863
C1C23C4C5C12C453,12.567132164830326,12.567132164830326
C1CC23C4C2C143,13.190921516988755,13.190921516988755
C12C3C14C1C35C2C145,10.75102536684405,10.75102536684405
C1C2C34C5C13C254,13.96600385982523,13.96600385982523
C12C34C5C16C23C546,12.030927112814426,12.030927112814426
C1C23CC14C2C34,11.804582647603414,11.804582647603414
C1N2CC34C5C13CC524,11.569948652947229,11.569948652947229
C12C3N1N23,11.324067470243287,11.324067470243287
C1C2C34C5C16C23C564,13.40097220192305,13.40097220192305
