smiles,D,D_pred
C1C23C4C2C143,12.273792894697117,12.273792894697117
C1C2C3CC123,11.23149816187332,11.23149816187332
C12C34C5C13C254,12.913990721862536,12.913990721862536
C1C23C4N2C143,11.167274779504964,11.167274779504964
C12C34C5C16C23C546,12.030927449324857,12.030927449324857
C1C2C34C5C13C254,13.9660042422173,13.9660042422173
C1C2C3C14CC234,12.329223331944084,12.329223331944084
C1C23C4C15C2C435,13.91921577655654,13.91921577655654
C1C23CC45C16C24C365,11.171634458855896,11.171634458855896
C1C23C4C15C41C2C351,13.60624214266669,13.60624214266669
C1C23C4C5C12C453,12.567132164830326,12.567132164830326
C1C23NC24C2C3C124,10.622487524410726,10.622487524410726
C1C2C3N4C1C234,11.1247247189269,11.1247247189269
